"","headline","url","date_time"
"34","План атаки на церкви в Україні розробив колишній співробітник СБУ","https://ua-news.liga.net/politics/news/plan-ataki-na-tserkvi-v-ukraini-rozrobiv-kolishniy-spivrobitnik-sbu","2019-02-18 17:00:52"
"35","Хто захопив кораблі ЗСУ в Криму: встановлено особи","https://ua-news.liga.net/politics/news/hto-zahopiv-korabli-zsu-v-krimu-vstanovleno-osobi","2019-02-18 16:39:27"
"36","У справі ""Мосійчук vs Супрун"" призначено нового суддю","https://ua-news.liga.net/politics/news/u-spravi-mosiychuk-vs-suprun-priznacheno-novogo-suddyu","2019-02-18 16:24:33"
"37","У Києві двоє дітей провалилися під лід: відео","https://ua-news.liga.net/cryminal/video/u-kievi-dvoe-ditey-provalilisya-pid-lid-video","2019-02-18 16:12:22"
"38","Мангер вийшов на роботу","https://ua-news.liga.net/politics/news/manger-viyshov-na-robotu","2019-02-18 15:02:54"
"39","Вибухи в окупованому Донецьку: в мережі з'явилося відео","https://ua-news.liga.net/cryminal/video/vibuhi-v-okupovanomu-donetsku-v-mereji-zyavilosya-video","2019-02-18 14:44:10"
"40","Порізав ножем. Виставку в київському метро закриють через вандала","https://ua-news.liga.net/kiev/news/porizav-nojem-vistavku-v-kiivskomu-metro-zakriyut-cherez-vandala","2019-02-18 14:27:52"
"41","Скільки військових у заручниках у окупантів Донбасу: дані штабу","https://ua-news.liga.net/cryminal/news/skilki-viyskovih-u-zaruchnikah-u-okupantiv-donbasu-dani-shtabu","2019-02-18 13:55:47"
"42","Порошенко не обіцяв мені другого прем'єрства - Гройсман","https://ua-news.liga.net/politics/news/poroshenko-ne-obitsyav-meni-drugogo-premerstva---groysman","2019-02-18 13:47:17"
"43","У Києві закрито вже чотири станції метро - шукають бомбу","https://ua-news.liga.net/kiev/news/u-kievi-zakrili-dvi-stantsii-metro---shukayut-bombu","2019-02-18 13:04:53"
"44","Аваков: Вісім кандидатів у президенти отримали охорону","https://ua-news.liga.net/politics/news/avakov-visim-kandidativ-u-prezidenti-otrimali-ohoronu","2019-02-18 12:59:58"
"45","Усик в травні може зустрітися з ""Русским витязем"" Повєткіним","https://ua-news.liga.net/sport/video/usik-v-travni-moje-zustritisya-z-russkim-vityazem-povetkinim","2019-02-18 11:58:09"
"46","В окупованому Донецьку сталися вибухи: джерела","https://ua-news.liga.net/cryminal/news/v-okupovanomu-donetsku-stalisya-vibuhi-djerela","2019-02-18 11:47:35"
"47","Гройсман розповів, в яких країнах любить відпочивати - інтерв'ю","https://ua-news.liga.net/politics/news/groysman-rozpoviv-v-yakih-krainah-lyubit-vidpochivati---intervyu","2019-02-18 11:41:26"
"48","Генштаб виклав документальний фільм про бої за Дебальцеве: відео","https://ua-news.liga.net/politics/video/genshtab-viklav-dokumentalniy-film-pro-boi-za-debaltseve-video","2019-02-18 10:53:15"
"49","Гройсман сказав, чи піде на вибори в Раду зі своєю партією","https://ua-news.liga.net/politics/news/groysman-skazav-chi-pide-na-vibori-v-radu-zi-svoeyu-partieyu","2019-02-18 10:22:43"
"50","Вночі в Києві горіли дорогі автомобілі: відео","https://ua-news.liga.net/kiev/video/vnochi-v-kievi-gorili-dorogi-avtomobili-video","2019-02-18 09:43:17"
"51","Депутату Радикальної партії дали 10 років за вбивство свободівця","https://ua-news.liga.net/politics/news/deputatu-radikalnoi-partii-dali-10-rokiv-za-vbivstvo-svobodivtsya","2019-02-20 14:53:46"
"52","Скільки силовиків зрадили Україну: статистика","https://ua-news.liga.net/politics/news/skilki-silovikiv-zradili-ukrainu-statistika","2019-02-20 12:58:37"
"53","Три партії заводять у Раду більшість депутатів: центр Разумкова","https://ua-news.liga.net/politics/news/tri-partii-zavodyat-u-radu-bilshist-deputativ-tsentr-razumkova","2019-02-20 12:30:26"
"54","Другий тур. Шанси є у трьох кандидатів - центр Разумкова","https://ua-news.liga.net/politics/news/drugiy-tur-shansi-e-u-troh-kandidativ---tsentr-razumkova","2019-02-20 11:47:39"
"55","Марчук сказав, як проходять переговори з Гризловим у Мінську","https://ua-news.liga.net/politics/news/marchuk-skazav-yak-prohodyat-peregovori-z-grizlovim-u-minsku","2019-02-19 17:43:12"
"56","Порошенко озвучив втрати військових у Донбасі","https://ua-news.liga.net/cryminal/news/poroshenko-ozvuchiv-vtrati-viyskovih-u-donbasi","2019-02-19 16:20:45"
"57","Повітряні сили назвали дані ОБСЄ про літак біля Донецька фейком","https://ua-news.liga.net/cryminal/news/povitryani-sili-nazvali-dani-obse-pro-litak-bilya-donetska-feykom","2019-02-19 16:00:22"
"58","Помер культовий модельєр Карл Лагерфельд","https://ua-news.liga.net/world/news/pomer-kultoviy-modeler-karl-lagerfeld","2019-02-19 14:36:16"
"59","До 300 пострілів артилерії за добу: бойовики накривають Приазов'я","https://ua-news.liga.net/cryminal/news/do-300-postriliv-artilerii-za-dobu-boyoviki-nakrivayut-priazovya","2019-02-19 14:29:09"
"60","Україна та ОАЕ розробили новий БТР: фото, відео","https://ua-news.liga.net/economics/video/ukraina-ta-oae-rozrobili-noviy-btr-foto-video","2019-02-19 13:24:44"
"61","""Біла балаклава"" створювала умови для вторгнення армії РФ - СБУ","https://ua-news.liga.net/politics/news/bila-balaklava-stvoryuvala-umovi-dlya-vtorgnennya-armii-rf---sbu","2019-02-19 13:17:03"
"62","РФ перейшла до активної фази повернення України - СБУ","https://ua-news.liga.net/politics/news/rf-pereyshla-do-aktivnoi-fazi-povernennya-ukraini---sbu","2019-02-19 12:11:11"
"63","Євросоюз затвердив ""азовські"" санкції проти Росії","https://ua-news.liga.net/politics/news/evrosoyuz-zatverdiv-azovski-sanktsii-proti-rosii","2019-02-18 18:04:31"
"64","План атаки на церкви в Україні розробив колишній співробітник СБУ","https://ua-news.liga.net/politics/news/plan-ataki-na-tserkvi-v-ukraini-rozrobiv-kolishniy-spivrobitnik-sbu","2019-02-18 17:00:52"
"65","У справі ""Мосійчук vs Супрун"" призначено нового суддю","https://ua-news.liga.net/politics/news/u-spravi-mosiychuk-vs-suprun-priznacheno-novogo-suddyu","2019-02-18 16:24:33"
"66","Скільки військових у заручниках у окупантів Донбасу: дані штабу","https://ua-news.liga.net/cryminal/news/skilki-viyskovih-u-zaruchnikah-u-okupantiv-donbasu-dani-shtabu","2019-02-18 13:55:47"
"67","Аваков: Вісім кандидатів у президенти отримали охорону","https://ua-news.liga.net/politics/news/avakov-visim-kandidativ-u-prezidenti-otrimali-ohoronu","2019-02-18 12:59:58"
"68","ЄС узгодив санкції проти 8 росіян за захоплення моряків ВМС: ЗМІ","https://ua-news.liga.net/politics/news/es-uzgodiv-sanktsii-proti-8-rosiyan-za-zahoplennya-moryakiv-vms-zmi","2019-02-15 17:38:03"
"69","НАЗК викликає кандидата в президенти для дачі пояснень","https://ua-news.liga.net/politics/news/nazk-viklikae-kandidata-v-prezidenti-dlya-dachi-poyasnen","2019-02-15 16:39:15"
"70","На нові ракети і БТРи: в бюджет конфіскували майже 1,5 млрд грн","https://ua-news.liga.net/politics/news/na-novi-raketi-i-btri-v-byudjet-konfiskuvali-mayje-15-mlrd-grn","2019-02-15 16:34:17"
"71","Луценко доручив САП кейс про ""незаконне збагачення"" Тимошенко","https://ua-news.liga.net/politics/news/lutsenko-doruchiv-sap-keys-pro-nezakonne-zbagachennya-timoshenko","2019-02-15 12:03:17"
"72","Кораблі НАТО увійдуть у Чорне море для підтримки України","https://ua-news.liga.net/politics/news/korabli-nato-uviydut-u-chorne-more-dlya-pidtrimki-ukraini","2019-02-14 17:21:02"
"73","Клімкін Росії щодо спостерігачів: У марсіан більше шансів","https://ua-news.liga.net/politics/news/klimkin-rosii-schodo-sposterigachiv-u-marsian-bilshe-shansiv","2019-02-14 16:13:37"
"74","Суд повернув Супрун повноваження в.о. міністра охорони здоров'я","https://ua-news.liga.net/politics/news/sud-povernuv-suprun-povnovajennya-vo-ministra-ohoroni-zdorovya","2019-02-14 14:14:51"
"75","КМІС: Зеленський у другому турі перемагає з подвійним відривом","https://ua-news.liga.net/politics/news/kmis-zelenskiy-u-drugomu-turi-peremagae-z-podviynim-vidrivom","2019-02-14 13:51:10"
